Latitude,Longitude,Year,Theatre
25.0072947,88.1029922,1659,Land
20.5547497,74.5100291,1818,Land
26.3005677,75.3696614,1800,Land
18.8380523,74.227313,1751,Land
26.2380583,90.5496437,1663,Land
21.9588282,96.0891032,1945,Land
22.3271369,75.4053367,1535,Land
26.1743638,83.1094358,1857,Land
12.9141417,74.8559568,1783,Land
24.5923983,74.2956875,1857,Land
25.333333,76.5144783,1761,Land
32.463744,76.2873563,1814,Land
26.32482,82.9817553,1858,Land
8.9809743,79.9044149,1591,Land and Sea
30.7605365,76.2696352,1748,Land
16.5347882,97.6032892,1824,Land and Sea
16.5347882,97.6032892,1852,Land
29.8825025,66.784376,1758,Land
16.1905457,81.1361543,1759,Land
26.0062592,84.0828023,1760,Land
22.0340154,96.4396785,1767,Land
28.9844618,77.7064137,1399,Land
28.9844618,77.7064137,1857,Land
23.4857264,75.6544875,1817,Land
20.8765931,95.8601611,1945,Land
19.9690111,95.0018047,1826,Land
26.644952,74.0309418,1790,Land
25.4703691,68.3044444,1843,Land
17.9790963,95.7062924,1885,Land
16.8165015,74.6424728,1762,Land
28.0371795,79.6725769,1774,Land
25.3043821,96.937016,1944,Land
25.371047,86.4559338,800,Land
24.779975,76.0247713,1804,Land
26.2146825,78.2390706,1858,Land
16.4543173,97.6439611,1835,Land
16.0087106,76.4360623,1443,Land
30.7766378,74.8828754,1845,Land
27.952974,80.207294,1858,Land
30.4766391,74.511172,1705,Land
13.1666533,78.3940737,1768,Land
30.157458,71.5249154,1398,Land
30.157458,71.5249154,1818,Land
30.157458,71.5249154,1848,Land
26.8898652,80.8719859,1858,Land
27.9595519,81.3524995,1858,Land
25.3946143,97.3840729,1944,Land
31.7785034,76.3444587,1691,Land
31.3832213,76.3765753,1858,Land
29.4426409,78.4326638,1858,Land
21.1458004,79.0881546,1817,Land
28.6090126,76.9854526,1857,Land
31.0445587,76.7047904,1814,Land
27.5883333,91.865278,1962,Land
13.4287741,77.614301,1791,Land
